Chromosome/scaffold name	Start (bp)	End (bp)	Feature type	Regulatory stable ID	SO term accession
1	2158602	2161400	Promoter Flanking Region	ENSR00000344819	SO:0001952
1	232764855	232769000	Promoter Flanking Region	ENSR00000390326	SO:0001952
1	24969401	24969600	CTCF Binding Site	ENSR00000351034	SO:0001974
1	12079201	12080600	CTCF Binding Site	ENSR00000250247	SO:0001974
1	12078600	12079601	Promoter	ENSR00000919835	SO:0000167
10	45450002	45455400	Promoter Flanking Region	ENSR00000402406	SO:0001952
11	96122001	96126199	Promoter Flanking Region	ENSR00000439752	SO:0001952
11	67164802	67171799	Promoter Flanking Region	ENSR00000433249	SO:0001952
11	1410402	1411800	Promoter Flanking Region	ENSR00000952322	SO:0001952
11	840800	846401	Promoter	ENSR00000035700	SO:0000167
11	57401402	57414399	Promoter Flanking Region	ENSR00000430611	SO:0001952
12	57609000	57612601	Promoter	ENSR00000052688	SO:0000167
12	98908801	98910200	Enhancer	ENSR00000467225	SO:0000165
13	52158200	52160201	Promoter	ENSR00000063098	SO:0000167
14	52455002	52459199	Promoter Flanking Region	ENSR00000984757	SO:0001952
15	48624201	48624599	Promoter Flanking Region	ENSR00000992371	SO:0001952
16	87416784	87417067	TF binding site	ENSR00000545419	SO:0000235
16	400200	403201	Promoter	ENSR00000082174	SO:0000167
16	33815801	33817200	CTCF Binding Site	ENSR00000280506	SO:0001974
16	87416401	87417400	CTCF Binding Site	ENSR00000545418	SO:0001974
16	12008801	12013199	Promoter Flanking Region	ENSR00000999197	SO:0001952
17	30228801	30229430	Promoter Flanking Region	ENSR00001008292	SO:0001952
17	27332000	27334001	Promoter	ENSR00000092566	SO:0000167
17	17139402	17141800	Promoter Flanking Region	ENSR00000550581	SO:0001952
17	46178600	46179001	Promoter	ENSR00001010208	SO:0000167
17	38295801	38298201	Promoter	ENSR00000093740	SO:0000167
17	43393401	43394600	CTCF Binding Site	ENSR00000556247	SO:0001974
17	80453800	80457001	Promoter	ENSR00000099209	SO:0000167
17	55161602	55163799	Promoter Flanking Region	ENSR00001011061	SO:0001952
17	17140601	17141200	CTCF Binding Site	ENSR00001007309	SO:0001974
17	57184304	57184653	Open chromatin	ENSR00000096086	SO:0001747
18	10525200	10528001	Promoter	ENSR00000100768	SO:0000167
18	76739801	76741200	Promoter Flanking Region	ENSR00001020348	SO:0001952
19	3358000	3362401	Promoter	ENSR00000106031	SO:0000167
19	39936000	39936801	Promoter	ENSR00001024516	SO:0000167
19	8476602	8482000	Promoter Flanking Region	ENSR00000583928	SO:0001952
19	13951600	13954201	Promoter	ENSR00000107464	SO:0000167
19	14528400	14531001	Promoter	ENSR00000107555	SO:0000167
19	4635600	4638401	Promoter	ENSR00000106250	SO:0000167
2	232329201	232329400	CTCF Binding Site	ENSR00001046136	SO:0001974
2	191877802	191879799	Promoter Flanking Region	ENSR00000632014	SO:0001952
2	232574201	232575326	Promoter Flanking Region	ENSR00001046189	SO:0001952
2	203496802	203503000	Promoter Flanking Region	ENSR00000129022	SO:0001952
2	70468001	70478399	Promoter Flanking Region	ENSR00000609309	SO:0001952
2	97652201	97655799	Promoter Flanking Region	ENSR00001034823	SO:0001952
22	38201000	38205801	Promoter	ENSR00000671893	SO:0000167
22	38851002	38852199	Promoter Flanking Region	ENSR00000672090	SO:0001952
3	42632163	42632494	Open chromatin	ENSR00000683887	SO:0001747
3	106824601	106830599	Promoter Flanking Region	ENSR00000695460	SO:0001952
3	197475801	197477000	Enhancer	ENSR00000714253	SO:0000165
3	66016202	66024599	Promoter Flanking Region	ENSR00000689560	SO:0001952
3	182698001	182698400	CTCF Binding Site	ENSR00000710734	SO:0001974
3	39146600	39155801	Promoter	ENSR00000151062	SO:0000167
4	2931600	2936601	Promoter	ENSR00000165018	SO:0000167
4	140372200	140375201	Promoter	ENSR00000173867	SO:0000167
4	2058201	2062001	Promoter	ENSR00000164912	SO:0000167
5	137688201	137688999	Promoter Flanking Region	ENSR00001101695	SO:0001952
5	134239401	134242999	Promoter Flanking Region	ENSR00001101331	SO:0001952
6	20400200	20405601	Promoter	ENSR00000194416	SO:0000167
6	42415801	42421000	Promoter Flanking Region	ENSR00001110397	SO:0001952
6	31509948	31510400	TF binding site	ENSR00000787604	SO:0000235
7	44162402	44164399	Promoter Flanking Region	ENSR00001124706	SO:0001952
7	1568000	1572001	Promoter	ENSR00000207630	SO:0000167
8	1712001	1712200	Promoter Flanking Region	ENSR00001134152	SO:0001952
8	61590802	61596800	Promoter Flanking Region	ENSR00000856876	SO:0001952
8	22549000	22554601	Promoter	ENSR00000222072	SO:0000167
