id,cgid,Chromosome,Start,Strand,mean.Primary solid Tumor,mean.Recurrent Solid Tumor,mean.diff,mean.quot.log2,diffmeth.p.val,max.Primary solid Tumor,min.Primary solid Tumor,sd.Primary solid Tumor,max.Recurrent Solid Tumor,min.Recurrent Solid Tumor,sd.Recurrent Solid Tumor,min.diff,diffmeth.p.adj.fdr,combinedRank,num.na.Primary solid Tumor,num.na.Recurrent Solid Tumor,mean.covg.Primary solid Tumor,mean.covg.Recurrent Solid Tumor,min.covg.Primary solid Tumor,min.covg.Recurrent Solid Tumor,max.covg.Primary solid Tumor,max.covg.Recurrent Solid Tumor,nsamples.covg.thres5.Primary solid Tumor,nsamples.covg.thres5.Recurrent Solid Tumor
24,cg18761878,chr1,568475,-,0.528463077662799,0.633728737277388,-0.105265659614589,-0.257605452175023,3.72687854525724e-5,0.701355110238925,0.227902239787586,0.0872674749771182,0.676283239920069,0.529561569775891,0.0375041245290558,0,0.00603433617680235,56149,0,0,11.1081081081081,13,4,6,22,18,109,13
199,cg17505193,chr1,896310,-,0.03686572416722,0.0462579651694786,-0.00939224100225861,-0.263524196475756,1.05475484803306e-4,0.107766969784314,0.0214579230008681,0.00923788976753903,0.0584590916012878,0.0363278641295293,0.0068285475217343,0,0.0120408218741266,285598,0,0,12.4324324324324,13.3846153846154,5,7,21,18,111,13
408,cg02482614,chr1,995013,-,0.0321320514385942,0.0456466786842321,-0.013514627245638,-0.401377418323787,4.23379706830444e-8,0.0579305531348284,0.0184876822987169,0.00731894254294575,0.0530000858360435,0.0344722701615397,0.00578379405832057,0,4.77972403127696e-5,244933,0,0,11.4414414414414,12.4615384615385,3,8,20,17,110,13
461,cg08470135,chr1,1020738,+,0.928278517086711,0.95203939345004,-0.0237608763633285,-0.0360797368827483,5.30185006898455e-7,0.95936022352631,0.817027062979547,0.0202388354750651,0.969157688749258,0.933978812253335,0.0100863757453072,0,3.00025820574091e-4,288833,0,0,12.1981981981982,12.7692307692308,1,5,22,20,109,13
507,cg09383789,chr1,1051364,+,0.0361182359172915,0.047839820789773,-0.0117215848724814,-0.32672575318938,2.02954836794967e-5,0.0662172215291433,0.0212153457620926,0.00908219220890167,0.0550630683971745,0.0407300329671088,0.00488165699047018,0,0.00399868845070669,261339,0,0,11.576576576576601,12,4,6,20,17,110,13
1049,cg13053783,chr1,1334803,+,0.0239245355438476,0.0351330260614035,-0.011208490517556,-0.411854447003838,2.80311743476442e-8,0.0469614451572347,0.0150374309652641,0.00575402107272744,0.0509460313012728,0.0280427973336892,0.00611845311958719,0,3.57236602996168e-5,266275,0,0,10.9279279279279,11.9230769230769,5,7,21,18,111,13
1319,cg23955334,chr1,1543828,-,0.927446958492231,0.943704070898867,-0.0162571124066357,-0.0248046114218556,1.44084122419833e-4,0.954358763923996,0.834400736301672,0.0164252731299439,0.953226681049428,0.924417897844538,0.0075599203847482,0,0.0145755420775321,328026,0,0,13.9009009009009,13.4615384615385,4,8,27,21,110,13
1504,cg10388316,chr1,1710208,+,0.026609648683272,0.0349414510432916,-0.00833180236001962,-0.295822776971736,3.11124852315612e-6,0.0434640434789446,0.0176925289924284,0.00554592208761117,0.0413708325077401,0.0278426480000872,0.00385374785360684,0,0.00109763389499203,297720,0,0,10.5855855855856,11.3076923076923,2,4,17,20,106,12
1546,cg01821754,chr1,1822399,+,0.030859765343554,0.0414776276309042,-0.0106178622873502,-0.333264649116333,1.06454293600404e-4,0.120939045665217,0.0180999423074499,0.011416307314013,0.0609325581325073,0.0288455436926125,0.0087016465003089,0,0.0120989171947276,272231,0,0,10.6396396396396,9.30769230769231,5,7,18,14,111,13
2049,cg23441090,chr1,2126425,-,0.0292902525537065,0.0374717800766434,-0.00818152752293694,-0.272898707025529,2.29015540407684e-5,0.0909246756855746,0.0155737663142384,0.00777679498325537,0.0494108691684792,0.0320678428476627,0.00428972092909547,0,0.00432894013002182,299556,0,0,10.7657657657658,11.5384615384615,5,7,20,17,111,13
2088,cg07333862,chr1,2158915,-,0.0665525405088124,0.0855433001985002,-0.0189907596896879,-0.319704453884071,2.18666304191445e-6,0.110643121526887,0.0455490859706104,0.0125557272094685,0.10122566866189,0.0654920235188274,0.0104114186832841,0,8.51249071673831e-4,203587,0,0,13.009009009009,12.0769230769231,4,6,23,16,110,13
2089,cg13400516,chr1,2159040,-,0.0349592949542571,0.0575596665866288,-0.0226003716323717,-0.587542796737233,1.13654907316664e-9,0.114297786701524,0.0158014174458045,0.0119856557708467,0.0825896874842427,0.0453847103685049,0.0104840830700864,0,3.31122940233835e-6,181255,0,0,10.2072072072072,13,2,5,19,19,106,13
2108,cg19404444,chr1,2164602,-,0.0906006176856524,0.180811140247618,-0.0902105225619659,-0.9235062402929,8.22546025613944e-5,0.562297698270854,0.0291372465670664,0.0703441512767378,0.58082254450252,0.0710833462706453,0.136891933759897,0,0.0102495499214871,21794,0,0,11.2792792792793,13.1538461538462,5,8,21,19,111,13
2238,cg14669749,chr1,2246478,-,0.0450395961751734,0.0563377677950859,-0.0112981716199126,-0.269360582537125,5.06833072423306e-5,0.0706674720453831,0.028789902521877,0.00904293034809677,0.0648544828235991,0.0514881344422655,0.00472383582076751,0,0.00743200132675587,265396,0,0,14.1981981981982,15,7,7,24,22,111,13
2421,cg23812581,chr1,2344178,-,0.0373816936380151,0.0467161960168932,-0.00933450237887815,-0.259431005551589,9.09114185276179e-6,0.0888801743383977,0.0237856747779547,0.00703669385639149,0.0655541859255099,0.0367279067150204,0.00749161882033549,0,0.00230121056927492,286261,0,0,13.3243243243243,11.3076923076923,6,7,21,17,111,13
2625,cg07832834,chr1,2457954,-,0.0197897797392715,0.0294960625134988,-0.00970628277422727,-0.406891377082234,6.73779628641121e-12,0.0388923574165309,0.0137791117810922,0.00394182307543679,0.0350290501389209,0.0200184027498964,0.00378908013341097,0,4.9879353629918e-8,282024,0,0,9.6036036036036,12.2307692307692,3,3,16,17,102,12
3876,cg04100463,chr1,3540901,+,0.0632324740172931,0.084540260085557,-0.0213077860682639,-0.368445298315821,1.64874591190708e-5,0.107200207810863,0.0337075307300325,0.0154784306723416,0.103637736147362,0.0653918315253835,0.0108207589641093,0,0.00346225764915367,188815,0,0,11.5495495495495,11.6153846153846,5,6,21,17,111,13
3883,cg25216613,chr1,3541447,-,0.0422956003903317,0.0549122244455284,-0.0126166240551967,-0.311800617866257,7.00314597254189e-5,0.0875903068082026,0.0247059251630387,0.0108330591298094,0.0637234566117953,0.0434457762038465,0.00582408150706676,0,0.00924285799296641,253018,0,0,10.4054054054054,8.76923076923077,3,3,19,16,109,10
4174,cg19828298,chr1,3713105,+,0.0701003073837411,0.101450721120725,-0.0313504137369838,-0.476526267234078,5.45664433769792e-5,0.124950738819853,0.0302735767608934,0.0249420272116534,0.118418188472926,0.0693129668631457,0.012979777924375,0,0.00779372880777366,138451,0,0,14.6666666666667,14.3846153846154,5,8,27,26,111,13
4209,cg15525503,chr1,3773166,+,0.047785072906296,0.0702686489743839,-0.0224835760680879,-0.474139752847569,1.78978443342053e-6,0.0881152144710758,0.0293527095013398,0.0119981268835493,0.131635337853014,0.0445094798492692,0.0265616235118339,0,7.38234473043038e-4,181911,0,0,10.2072072072072,11.3076923076923,3,8,19,17,107,13
4672,cg00931619,chr1,6052495,+,0.0253395139573237,0.0397555352749646,-0.0144160213176409,-0.493574835694036,1.16780446689898e-7,0.0554337210074025,0.0152809572769792,0.00761461627102651,0.071679447260529,0.027239521356404,0.0115045786138841,0,9.72979346039311e-5,237340,0,0,9.65765765765766,12.4615384615385,3,8,16,17,107,13
5241,cg09022921,chr1,6649009,+,0.975818388921791,0.966428832933868,0.00938955598792357,0.0138069954703514,5.67321751458797e-5,0.98468669868204,0.937197853124572,0.00659427333893016,0.977024386253888,0.928605092881376,0.0133302664221262,0,0.00799579148686246,376145,0,0,8.31531531531532,9.84615384615385,2,5,16,14,101,13
5280,cg20803783,chr1,6673301,+,0.0302807388223925,0.0397343833796058,-0.00945364455721329,-0.304153444572184,9.86710669701774e-6,0.0675269002661145,0.0202534205809285,0.00729653147401806,0.0535143574764771,0.0315401528198957,0.00671594377172247,0,0.00242556794122258,284883,0,0,8.05405405405405,9.61538461538461,1,7,15,13,98,13
5285,cg01762921,chr1,6673618,+,0.068876923837863,0.0855075436118757,-0.0166306197740128,-0.276011399739891,1.12776961878065e-4,0.100240965232792,0.0378052077691116,0.0116514833900254,0.132101002735008,0.0656320056243554,0.0185021590813558,0,0.0125561131388,220243,0,0,13.6576576576577,14.1538461538462,4,7,24,25,110,13
5607,cg11843502,chr1,7843515,+,0.18170250796239,0.22101766095055,-0.0393151529881602,-0.269133936414587,1.08116849408374e-4,0.278796842466206,0.118695741497383,0.0336647879407661,0.244524558018583,0.193232440113394,0.0151967473810697,0,0.0122027499522581,109265,0,0,13.6306306306306,14.0769230769231,6,9,20,25,111,13
5963,cg12486756,chr1,8953511,+,0.956753235195983,0.968582300820108,-0.0118290656241244,-0.0175455023978418,4.13268253409288e-5,0.975341542552878,0.905601421902087,0.0116564771862569,0.975037280716455,0.947997630018427,0.00721963999701332,0,0.00651161379407047,358283,0,0,10.3603603603604,10.0769230769231,1,7,21,13,107,13
6071,cg02924110,chr1,9243242,-,0.0595475531328736,0.0909876148948821,-0.0314400617620085,-0.538106708993709,1.82649886758496e-6,0.108635373754527,0.0338660075726342,0.0167432532512684,0.212299631105976,0.0582784818090388,0.0377831583497481,0,7.48124191247847e-4,138105,0,0,11.0810810810811,10.2307692307692,3,5,18,17,107,13
6241,cg21003981,chr1,9649299,-,0.0249237342715964,0.0309671429286071,-0.00604340865701077,-0.230259452467709,4.96640647129448e-5,0.0358784544392645,0.0140393496336133,0.004556351945518,0.0405242371185647,0.0263384655521811,0.00367268314488356,0,0.0073475251608843,327935,0,0,10.6756756756757,10.6923076923077,4,7,17,14,109,13
6250,cg23691516,chr1,9661251,+,0.920498955962552,0.937331510852946,-0.0168325548903943,-0.0258648417325365,4.54288351337041e-5,0.954517278217803,0.879626826917556,0.0145184499773583,0.956217253498447,0.921757574993782,0.010343813425152,0,0.00690729377508682,324006,0,0,15.6396396396396,16.2307692307692,7,10,28,26,111,13
6425,cg27566521,chr1,9970633,-,0.0556133706675958,0.0761012130611773,-0.0204878423935816,-0.392043726934295,1.05586956544948e-5,0.123415516815803,0.0371706362629615,0.013157639043717,0.133120638143398,0.0514427242687747,0.0225689148142309,0,0.00253620992886459,193966,0,0,11.8558558558559,12.7692307692308,3,6,21,18,109,13
6443,cg04413397,chr1,10003059,-,0.0493938006167337,0.0686616878870165,-0.0192678872702828,-0.405348789495868,1.19681899996525e-6,0.0971771856968604,0.0308057264381447,0.0122002085808133,0.0829821888173815,0.0469142368768121,0.0111104340337995,0,5.61893010324416e-4,201748,0,0,15.2612612612613,16,4,8,24,23,109,13
6446,cg15591198,chr1,10003340,+,0.0479226197772623,0.0617647735236718,-0.0138421537464095,-0.30914900068541,5.01756789535225e-5,0.093528864277227,0.0289041876052298,0.0110405934587032,0.0815459311216566,0.045997192701286,0.0103120077204966,0,0.00739257185986094,242142,0,0,11.2522522522523,10.4615384615385,3,6,19,16,110,13
6479,cg15707544,chr1,10093239,+,0.0468599271301165,0.0601994006094855,-0.013339473479369,-0.304046462171758,5.73776400927208e-5,0.189784305410316,0.0292878629586116,0.0156604838874991,0.0756638674905184,0.0441307812017573,0.00882536181033363,0,0.0080592472652537,246474,0,0,10.2072072072072,10.8461538461538,2,4,20,16,108,12
6495,cg19306864,chr1,10270515,-,0.058422502902746,0.0809372701452205,-0.0225147672424745,-0.410400817313671,2.18065809324522e-5,0.0974426640856557,0.0270238729406421,0.0150271369690938,0.0936643569505728,0.0426619347003643,0.013472832193939,0,0.00420800882952073,181725,0,0,11.8378378378378,14.6923076923077,2,9,21,19,107,13
6804,cg22800477,chr1,10853793,+,0.0745000498775178,0.101176454101973,-0.0266764042244551,-0.395827176065623,5.76446702865423e-6,0.139406568324292,0.038156420006911,0.0189479461299749,0.127240142080004,0.0834570197080278,0.0126310547797377,0,0.00168813650574943,159748,0,0,12.2252252252252,12.3076923076923,5,8,20,17,111,13
6806,cg16238819,chr1,10854205,-,0.0378043224983561,0.0521210058299846,-0.0143166833316285,-0.377940115717341,6.97747251936809e-6,0.119443347889782,0.0183585544173269,0.0107157509127141,0.0806171673662818,0.0342447291576101,0.0123512687153882,0,0.00192478502464948,238159,1,0,10.6756756756757,10.4615384615385,2,5,20,16,106,13
6888,cg10233455,chr1,11072622,-,0.0577365746797752,0.0771621802655229,-0.0194256055857477,-0.363767250216531,2.75530737759821e-6,0.0946366893445518,0.0380818923600414,0.0114337509991521,0.118417928416724,0.0550970607779561,0.0180473113687794,0,0.00100503731418501,200764,0,0,9.87387387387387,11.2307692307692,2,5,19,18,105,13
6918,cg12177942,chr1,11120465,-,0.0563763856642816,0.0742027282390274,-0.0178263425747459,-0.343196904844427,6.06869897875201e-6,0.0914049551538742,0.0382947279017794,0.0110690414537992,0.113162953487944,0.053120205736886,0.0152975653436124,0,0.00173999425233452,211570,0,0,13.9369369369369,14.2307692307692,6,9,25,22,111,13
7266,cg06707403,chr1,11985681,-,0.495280612785506,0.540775302562897,-0.0454946897773914,-0.124379042757351,9.78013324503982e-5,0.546598628452689,0.367100048307013,0.0361004171350272,0.606444685418374,0.475768757481744,0.0334366756939588,0,0.0114239343262509,137678,0,0,12.5495495495495,12.5384615384615,5,7,20,19,111,13
7283,cg05155371,chr1,11994697,-,0.0405025688236437,0.05940387591767,-0.0189013070940263,-0.458659460854626,8.04175941239843e-5,0.0746851498295021,0.0196134834843981,0.0124789496444715,0.113590119332377,0.0290438712579635,0.0222034654312061,0,0.0101211862651395,204190,0,0,9.90990990990991,10,4,3,23,15,108,12
7319,cg15059389,chr1,12079390,+,0.0332492904425162,0.0715976265171183,-0.0383483360746021,-0.915850724436704,8.01101506726007e-15,0.0835500905498734,0.0150261221762196,0.0121413248703793,0.0898535002111058,0.0521783187209032,0.00993166226332001,0,7.23519632408633e-10,112343,0,0,11.2522522522523,11.7692307692308,5,8,19,20,111,13
7633,cg14091531,chr1,13881461,+,0.915690903656708,0.88216137948866,0.0335295241680476,0.0532258482552282,1.10787438367605e-4,0.963399145268958,0.766977235652132,0.031314495170725,0.907188630282165,0.845782696636665,0.0238912103090493,0,0.0124172672730619,243398,0,0,13.0720720720721,13.6153846153846,4,7,22,18,110,13
7734,cg22781249,chr1,14219640,+,0.113350398625848,0.164796429747543,-0.0514460311216955,-0.50291333986401,6.60573790966935e-7,0.207811749193398,0.0762444788966103,0.0236809017059943,0.41995591788289,0.103973766048543,0.0790788997714927,0,3.58534364636138e-4,76358,0,0,12.7027027027027,12.6923076923077,3,4,25,18,109,12
7781,cg22396057,chr1,14925078,+,0.0574342756207388,0.0713956352444085,-0.0139613596236697,-0.271469359970976,9.34025860785898e-5,0.0880750376876278,0.0352181148474666,0.0111492016204223,0.0845886635101366,0.0598518073926524,0.00729777430896593,0,0.0111324885885001,241131,1,0,7.81981981981982,8.23076923076923,1,5,15,13,95,13
7926,cg25025297,chr1,15480555,-,0.139318213096661,0.186001200709157,-0.0466829876124958,-0.392472343353382,4.77480698051027e-5,0.222857754132387,0.0721693786436539,0.0366507640755959,0.218916993660406,0.138858606182859,0.0223167966306948,0,0.00715631525604005,87865,0,0,11.6576576576577,14,2,4,26,19,107,12
7969,cg17944001,chr1,15610717,-,0.873418808350008,0.915536607181358,-0.0421177988313501,-0.0671925049796019,1.10666860479631e-5,0.948435079539428,0.738592996208063,0.0364812616674774,0.942345105055709,0.885908940634669,0.0179814148184531,0,0.00262472266395329,214683,0,0,10.3513513513514,11.1538461538462,3,5,19,17,106,13
8036,cg20798872,chr1,15850838,+,0.0672456719825005,0.0962439973226004,-0.0289983253400999,-0.459855325490843,2.21844370899216e-6,0.17013768926405,0.0232479112330078,0.0204545231946675,0.122421638721329,0.0762027303665573,0.0129295531082838,0,8.61393270179934e-4,148636,0,0,9.13513513513514,9.30769230769231,3,6,15,13,105,13
8056,cg18192808,chr1,15853278,+,0.0333283649985066,0.0487771486467464,-0.0154487836482398,-0.439943576387827,6.0589426950789e-6,0.147169742407234,0.0199301997067084,0.0140349953169594,0.0746677292669314,0.0325664183511509,0.0125804828271203,0,0.00173830065079945,229194,0,0,8.42342342342342,9.61538461538461,1,6,18,12,98,13
8212,cg09178529,chr1,16174350,-,0.0245330178282691,0.0316620791910049,-0.00712906136273574,-0.270758424115364,1.94756410471144e-5,0.0542749710150927,0.014205228196683,0.00547845112444533,0.041447807671394,0.0251087554071182,0.00476756097571024,0,0.00388118756962658,312799,1,0,9.34234234234234,10.6923076923077,1,6,16,14,104,13
8548,cg02974484,chr1,16825139,-,0.253186945220479,0.340565130407606,-0.0873781851871271,-0.413594573673675,2.75965932894558e-5,0.391947050187519,0.0967183153577087,0.0596896200983995,0.429826744872183,0.185710443004186,0.0685568894456599,0,0.00493936361651441,24085,0,0,9.64864864864865,12.2307692307692,2,8,17,18,101,13
8788,cg25849876,chr1,17282643,-,0.963860303696198,0.953540486275049,0.0103198174211488,0.0153695511066433,3.90400723527947e-5,0.975734367431072,0.943479078981791,0.0064287384352373,0.96526824790252,0.914469789720366,0.014054602891271,0,0.00624942849802563,368512,0,0,11.3693693693694,11.6153846153846,4,7,23,17,110,13
8837,cg13115616,chr1,17338059,+,0.10968191590966,0.158315046856765,-0.0486331309471051,-0.491958979325713,1.81754892656639e-7,0.226907956551859,0.0554391033188122,0.0263472625111183,0.254889881570693,0.130066014987226,0.0366860910241544,0,1.33201317976888e-4,82974,0,0,9.43243243243243,10.8461538461538,3,8,18,14,107,13
8838,cg15465571,chr1,17338208,+,0.0457754515427196,0.061979475448748,-0.0162040239060284,-0.36795530046525,3.94204991184769e-5,0.0915076939643521,0.025953002949007,0.0126641574220413,0.0822710020405187,0.0413558547516056,0.0108842244428562,0,0.0062963140076845,223414,0,0,9.75675675675676,9.23076923076923,3,3,17,14,107,12
8995,cg11737843,chr1,17765054,-,0.0316103114484686,0.0431513008889262,-0.0115409894404576,-0.353163915611703,1.2707447233841e-6,0.0613903210795021,0.0186537301439547,0.00743127485677734,0.0515664156244295,0.0376474072084524,0.00457404828287561,0,5.8734939682328e-4,263118,0,0,12.7477477477477,12.8461538461538,1,5,20,19,109,13
9152,cg23349790,chr1,18434576,+,0.0322665149997736,0.0445978986749716,-0.012331383675198,-0.369330264031269,7.15752400352409e-7,0.0562223747972044,0.0200407715646613,0.00740820708959364,0.0557530078100285,0.0305608501465782,0.00656856131592623,0,3.79363893716362e-4,255650,0,0,10.5495495495495,10.3076923076923,4,6,17,15,109,13
9275,cg06178299,chr1,18967508,+,0.22333369028519,0.329191871972655,-0.105858181687465,-0.539706970770445,9.70514394794217e-6,0.549334754444952,0.0940340159087476,0.077028566077144,0.5799408362173,0.216869473341683,0.0960415870318362,0,0.00239537020798669,11894,0,0,17.5315315315315,15.6923076923077,7,10,29,22,111,13
9379,cg21728447,chr1,19229118,+,0.065156246548784,0.0825341364855712,-0.0173778899367872,-0.300092666521936,1.07345541503933e-4,0.118361476517878,0.0414319736813426,0.0145395658344766,0.100226655945114,0.0562660473508135,0.0123247464691755,0,0.0121551867957029,214801,0,0,8.9009009009009,10.3076923076923,2,3,23,17,99,12
9385,cg01972394,chr1,19229528,+,0.252567069706427,0.309544517224644,-0.0569774475182168,-0.283330944157611,4.98222419950608e-5,0.36626113513088,0.144071908415906,0.0452695839906142,0.336192012932401,0.243922837843465,0.0226878009762095,0,0.00736183668089328,64792,0,0,13.1801801801802,15.3846153846154,3,12,21,19,110,13
9414,cg20809997,chr1,19282380,-,0.0449931504167125,0.0591097061227425,-0.01411655570603,-0.329636407088913,4.005296160834e-5,0.0799005255737473,0.0239435711377734,0.0111398663778463,0.0693872200952095,0.0468175825842113,0.00635497458943359,0,0.00636202629487543,239826,0,0,11.9009009009009,12.1538461538462,5,8,22,18,111,13
9488,cg00894870,chr1,19578612,-,0.046724965285686,0.0768222708980563,-0.0300973056123702,-0.614081336792794,2.24553265578106e-5,0.0972381524649309,0.0172112457470269,0.0220662445556561,0.0977073377716656,0.0392855073949593,0.0146740580323432,0,0.0042804269549696,143810,0,0,12.4414414414414,12.3846153846154,4,7,27,21,110,13
9606,cg25325159,chr1,19812210,-,0.0501220600879182,0.072152603767023,-0.0220305436791048,-0.450411856890473,4.12892437876871e-6,0.0890431194659445,0.0217270846066712,0.0136627088051942,0.0995337468661771,0.0508805328289667,0.0152784946153825,0,0.00133085753969709,184611,0,0,11.4594594594595,11.2307692307692,3,6,20,17,108,13
9649,cg23295592,chr1,19971176,+,0.0284523789390801,0.0432237219675856,-0.0147713430285055,-0.468996546060587,5.97368547093771e-7,0.130534416057641,0.0149431044088096,0.0127211410050525,0.0509430436995639,0.0352917548459843,0.00471732944281707,0,3.313986409822e-4,234536,0,0,9.34234234234234,12.3076923076923,3,8,15,15,107,13
