Gene stable ID	Protein stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene description
ENSG00000120949	ENSP00000263932	1	12063303	12144207	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000120949	ENSP00000390650	1	12063303	12144207	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000120949	ENSP00000421938	1	12063303	12144207	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000120949	ENSP00000398337	1	12063303	12144207	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000120949		1	12063303	12144207	TNFRSF8	TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]
ENSG00000261025		1	24968423	24970865	AL445471.1	novel transcript
ENSG00000084070	ENSP00000389895	1	40344850	40423326	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000084070	ENSP00000361803	1	40344850	40423326	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000084070	ENSP00000361793	1	40344850	40423326	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000084070	ENSP00000479285	1	40344850	40423326	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000084070	ENSP00000442835	1	40344850	40423326	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000084070		1	40344850	40423326	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]
ENSG00000224609		1	59131932	59296491	HSD52	uncharacterized LOC729467 [Source:NCBI gene (formerly Entrezgene);Acc:729467]
ENSG00000122432		1	84506300	84566194	SPATA1	spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]
ENSG00000122432	ENSP00000492019	1	84506300	84566194	SPATA1	spermatogenesis associated 1 [Source:HGNC Symbol;Acc:HGNC:14682]
ENSG00000122484	ENSP00000476948	1	92299059	92402056	RPAP2	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]
ENSG00000122484		1	92299059	92402056	RPAP2	RNA polymerase II associated protein 2 [Source:HGNC Symbol;Acc:HGNC:25791]
ENSG00000136631	ENSP00000495148	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000481356	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631		1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000358124	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000495563	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000496312	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000494741	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000494763	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000400143	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000494363	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000495981	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000440690	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000136631	ENSP00000478403	1	150067279	150145329	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]
ENSG00000188859	ENSP00000412766	1	166057426	166167001	FAM78B	family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]
ENSG00000188859	ENSP00000389945	1	166057426	166167001	FAM78B	family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]
ENSG00000188859	ENSP00000393329	1	166057426	166167001	FAM78B	family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]
ENSG00000188859	ENSP00000346404	1	166057426	166167001	FAM78B	family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]
ENSG00000188859	ENSP00000339681	1	166057426	166167001	FAM78B	family with sequence similarity 78 member B [Source:HGNC Symbol;Acc:HGNC:13495]
ENSG00000143167		1	167052836	167166479	GPA33	glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]
ENSG00000143167	ENSP00000356842	1	167052836	167166479	GPA33	glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]
ENSG00000143167	ENSP00000488407	1	167052836	167166479	GPA33	glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]
ENSG00000143167	ENSP00000431195	1	167052836	167166479	GPA33	glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]
ENSG00000152092	ENSP00000356629	1	176857302	177164973	ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]
ENSG00000152092	ENSP00000354536	1	176857302	177164973	ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]
ENSG00000152092	ENSP00000395041	1	176857302	177164973	ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]
ENSG00000152092		1	176857302	177164973	ASTN1	astrotactin 1 [Source:HGNC Symbol;Acc:HGNC:773]
ENSG00000116199	ENSP00000404005	1	179025804	179076567	FAM20B	FAM20B glycosaminoglycan xylosylkinase [Source:HGNC Symbol;Acc:HGNC:23017]
ENSG00000116199	ENSP00000263733	1	179025804	179076567	FAM20B	FAM20B glycosaminoglycan xylosylkinase [Source:HGNC Symbol;Acc:HGNC:23017]
ENSG00000123243	ENSP00000380333	10	7559270	7666998	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]
ENSG00000123243	ENSP00000485414	10	7559270	7666998	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]
ENSG00000123243		10	7559270	7666998	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]
ENSG00000123243	ENSP00000419386	10	7559270	7666998	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]
ENSG00000123243	ENSP00000380332	10	7559270	7666998	ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]
ENSG00000136770	ENSP00000366179	10	21756548	22003769	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]
ENSG00000136770		10	21756548	22003769	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]
ENSG00000136770	ENSP00000431248	10	21756548	22003769	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]
ENSG00000165406	ENSP00000411848	10	45454585	45594906	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]
ENSG00000165406	ENSP00000379116	10	45454585	45594906	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]
ENSG00000165406		10	45454585	45594906	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]
